query,id,Text,Text_processed,Sentiment,SentimentB
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369305794106322946,"Prior to COVID-19, the default for online classes was one-way, but now increased flexibility and better technology have allowed universities to be more accessible than ever before. Read more: https://t.co/InMsNk2wDM

via @universitybiz #highered #onlinelearning",prior covid default online class oneway increased flexibility better technology allowed university accessible ever read via,0.2916666666666667,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370170165535641605,"@luzhenyaaann Because the school was already planning on doing online classes even before covid 
and now everything is online except finals",school already planning online class even covid everything online except final,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371374916101111808,@RosebankRC please do something about the situation at the Pretoria CBD campus   It is full everywhere and the screening queue is so long we missing our 8am classes implement online learning again so that we don’t end up getting #COVID19 from all of this,please something situation pretoria cbd campus full everywhere screening queue long missing class implement online learning end getting,0.0333333333333333,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371529137928638464,"""High school students will spend the day in 1 classroom supervised by 1 teacher, who likely will not be teaching them. Each student will log on for online learning classes. The instructor will teach online, but not necessarily to the students in the room.""https://t.co/iUb9iDe7WI",high school student spend day classroom supervised teacher likely teaching student log online learning class instructor teach online necessarily student room,0.0533333333333333,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372406954769850369,"@CMOTamilNadu kind request CM sir
@OfficeOfOPS Deputy CM 

Covid is increasing very severely in TN... pls close schools n colleges in TN to save children... online classes can be given for students... we trust you... Request on behalf of Tamilnadu parents...🙏🏼🙏🏼🙏🏼",kind request cm sirofficeofops deputy cm covid increasing severely tn pls close school n college tn save child online class given student trust request behalf tamilnadu parent,0.6,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1368778640834633730,"@attackerman Agree! My 6 yr old's school offers option of f2f or online. We're doing online cuz multi-gen home. After holidays, the f2f classes had COVID+ case every day for 10 days straight!
They have very strict protocols. Kids bringing it into school thru anti masking families.",agree yr old school offer option f online online cuz multigen home holiday f class covid case every day day straightthey strict protocol kid bringing school thru anti masking family,0.1,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369319821574352898,"Lane County COVID-19 case rates fall below 100/100K residents (https://t.co/QUqcPW8ZMO). CMHS hybrid in-person classes begin  March 15. Group A Mon/Wed, Group B Tue/Thur. 8:00am-12:45pm. Distance Learning online afternoons. Bell schedules pending.",lane county covid case rate fall k resident cmhs hybrid inperson class begin march group monwed group b tuethur ampm distance learning online afternoon bell schedule pending,0.0,0.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371121228073869314,And please don't make excuses that u were taught online and Covid is at its peak. If you don't listen to online classes it's your fault.. Plus Exam centre mien covid ki full precautions hongi..You need not to worry about covid. @Shafqat_Mahmood don't listen to them. @DrMuradPTI,please make excuse u taught online covid peak listen online class fault plus exam centre mien covid ki full precaution hongiyou need worry covid listen drmuradpti,0.15,1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1372219341710708738,"Local COVID cases go beyond previous highs, Morrin School moves some classes online https://t.co/lMZJK6GOqu https://t.co/Hnc351OQXf",local covid case go beyond previous high morrin school move class online,-0.0022222222222222,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1370059680265953280,@AimanSafiyy Actually they're all in school and me and another student are the only ones who go to online classes which I'm glad I do because someone in school got covid apparently,actually theyre school another student one go online class im glad someone school got covid apparently,0.1833333333333333,1.0
